id,type,trait_count,trait1,trait2,trait3,trait4,trait5,trait6,trait7,trait8,trait9,trait10,trait11,trait12,Rarity,TimesSold,LastPrice,TimeInDays
4377,Dog,3,Chestplate,Belt,Ski Goggles,,,,,,,,,,7999,3.0,4500.0,0.0
4378,Tiger,4,Chestplate,Belt,Umbrella,Covered Helmet,,,,,,,,,5573,1.0,6345.0,207.0
4379,Lion,6,Special Background,Star Suit,Chestplate,Amulet,Belt,Jetpack,,,,,,,967,,,
4380,Arcane,3,Chestplate,Belt,Backpack,,,,,,,,,,5161,3.0,7000.0,104.0
4381,Bear,3,Special Background,Camo Suit,Belt,,,,,,,,,,7309,,,
4382,Frog,3,Star Suit,Chestplate,Belt,,,,,,,,,,7231,,,
4383,Cat,1,Watch,,,,,,,,,,,,2111,,,
4384,Parrot,3,Chestplate,Amulet,Belt,,,,,,,,,,5991,1.0,5950.0,118.0
4385,Robot,3,Chestplate,Covered Helmet,Ski Goggles,,,,,,,,,,7349,,,
4386,Dog,3,Covered Helmet,Eye Patch,Sword,,,,,,,,,,4937,2.0,9875.0,55.0
4387,Bear,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8556,,,
4388,Lion,4,Belt,Covered Helmet,Snorkel,Wool Boots,,,,,,,,,4048,,,
4389,Ape,4,Special Background,Belt,Covered Helmet,Harpoon,,,,,,,,,4109,,,
4390,Frog,3,Camo Suit,Chestplate,Belt,,,,,,,,,,7214,1.0,7525.0,49.0
4391,Frog,1,Watch,,,,,,,,,,,,1299,,,
4392,Alien,2,Chestplate,Belt,,,,,,,,,,,8816,,,
4393,Cat,6,Star Suit,Chestplate,Belt,Covered Helmet,Ski Goggles,Harpoon,,,,,,,1210,1.0,5699.0,217.0
4394,Dog,3,Chestplate,Belt,Wool Boots,,,,,,,,,,9174,,,
4395,Robot,3,Chestplate,Belt,Ski Goggles,,,,,,,,,,7477,1.0,4000.0,249.0
4396,Cat,4,Chestplate,Amulet,Belt,Ski Goggles,,,,,,,,,5807,,,
4397,Ape,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9397,,,
4398,Alien,2,Belt,Jetpack,,,,,,,,,,,5567,1.0,4000.0,132.0
4399,Alien,2,Special Background,Chestplate,,,,,,,,,,,7342,,,
4400,Arcane,3,Belt,Covered Helmet,Snorkel,,,,,,,,,,5548,,,
4401,Alien,3,Belt,Covered Helmet,Binoculars,,,,,,,,,,2994,2.0,6000.0,116.0
4402,Parrot,5,Chestplate,Belt,Covered Helmet,Watch,Lamp Fish,,,,,,,,1378,1.0,2500.0,261.0
4403,Cat,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9679,,,
4404,Alien,5,Camo Suit,Chestplate,Belt,VR,Harpoon,,,,,,,,2782,,,
4405,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,,,
4406,Dog,4,Chestplate,Belt,Covered Helmet,Lamp Fish,,,,,,,,,3516,,,
4407,Robot,3,Belt,Backpack,Covered Helmet,,,,,,,,,,6189,,,
4408,Robot,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9190,,,
4409,Bear,4,Camo Suit,Chestplate,Belt,VR,,,,,,,,,6341,,,
4410,Dog,3,Chestplate,Covered Helmet,Sun Glasses,,,,,,,,,,7623,,,
4411,Dog,3,Chestplate,Belt,Baguette,,,,,,,,,,3509,1.0,7500.0,211.0
4412,Alien,4,Camo Suit,Chestplate,Belt,Baguette,,,,,,,,,3026,,,
4413,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,,,
4414,Alien,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9332,,,
4415,Cat,5,Camo Suit,Chestplate,Belt,Watch,Pistol,,,,,,,,4280,2.0,2480.0,260.0
4416,Cat,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9487,,,
4417,Arcane,4,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,,6780,,,
4418,Dog,5,Camo Suit,Chestplate,Belt,Covered Helmet,Harpoon,,,,,,,,4132,1.0,3950.0,214.0
4419,Wolf,3,Belt,Covered Helmet,Bazooka,,,,,,,,,,440,,,
4420,Dog,3,Chestplate,Belt,Revolver,,,,,,,,,,7567,,,
4421,Lion,2,Chestplate,Belt,,,,,,,,,,,6578,,,
4422,Elephant,4,Special Background,Belt,Watch,Wool Boots,,,,,,,,,206,,,
4423,Cat,5,Chestplate,Belt,Covered Helmet,Watch,Lamp Fish,,,,,,,,2241,2.0,8250.0,51.0
4424,Dog,4,Special Background,Chestplate,Covered Helmet,Flag,,,,,,,,,5225,,,
4425,Alien,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9763,,,
4426,Bear,3,Star Suit,Belt,Snorkel,,,,,,,,,,6054,,,
4427,Dog,3,Camo Suit,Belt,Lamp Fish,,,,,,,,,,3343,1.0,7250.0,20.0
4428,Lion,3,Chestplate,Belt,X-Ray,,,,,,,,,,5301,2.0,9999.0,116.0
4429,Ape,4,Camo Suit,Belt,Covered Helmet,Sun Glasses,,,,,,,,,6698,,,
4430,Bear,2,Belt,Amulet,,,,,,,,,,,6301,1.0,4300.0,221.0
4431,Robot,5,Chestplate,Belt,Watch,Sword,Hockey Stick,,,,,,,,1969,,,
4432,Alien,4,Special Background,Star Suit,Chestplate,Belt,,,,,,,,,8066,,,
4433,Tiger,4,Camo Suit,Chestplate,Belt,Backpack,,,,,,,,,5498,,,
4434,Alien,2,Belt,Covered Helmet,,,,,,,,,,,8723,2.0,3700.0,164.0
4435,Ape,3,Star Suit,Chestplate,Belt,,,,,,,,,,9593,,,
4436,Alien,4,Chestplate,Ski Goggles,Watch,Sword,,,,,,,,,3849,,,
4437,Ape,3,Belt,Backpack,X-Ray,,,,,,,,,,4396,1.0,5500.0,116.0
4438,Bear,4,Star Suit,Chestplate,Belt,Blaster,,,,,,,,,2897,,,
4439,Arcane,2,Chestplate,Belt,,,,,,,,,,,7025,,,
4440,Tiger,4,Camo Suit,Chestplate,Belt,X-Ray,,,,,,,,,6041,,,
4441,Robot,2,Chestplate,Belt,,,,,,,,,,,8587,,,
4442,Bear,5,Star Suit,Chestplate,Belt,Revolver,Blaster,,,,,,,,1269,,,
4443,Frog,2,Star Suit,Belt,,,,,,,,,,,5715,,,
4444,Robot,4,Chestplate,Belt,Covered Helmet,Candle,,,,,,,,,3063,,,
4445,Cat,3,Camo Suit,Belt,Snorkel,,,,,,,,,,7347,1.0,3599.0,234.0
4446,Dog,2,Chestplate,Flowers,,,,,,,,,,,5240,,,
4447,Parrot,3,Chestplate,Belt,Wool Boots,,,,,,,,,,6540,,,
4448,Parrot,1,Chestplate,,,,,,,,,,,,1644,,,
4449,Alien,5,Star Suit,Chestplate,Belt,Covered Helmet,Lamp Fish,,,,,,,,2470,,,
4450,Shark,4,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,,999,,,
4451,Alien,5,Star Suit,Chestplate,Belt,Covered Helmet,X-Ray,,,,,,,,5534,,,
4452,Frog,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,6916,,,
4453,Bear,4,Camo Suit,Belt,Covered Helmet,Sword,,,,,,,,,5734,,,
4454,Robot,2,Chestplate,Belt,,,,,,,,,,,8587,2.0,3900.0,248.0
4455,Cat,2,Belt,Covered Helmet,,,,,,,,,,,9014,2.0,3700.0,235.0
4456,Dog,4,Camo Suit,Chestplate,Belt,Revolver,,,,,,,,,6750,,,
4457,Frog,4,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,,6014,,,
4458,Frog,4,Chestplate,Belt,Covered Helmet,Cardano,,,,,,,,,4322,,,
4459,Dog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9866,2.0,5100.0,100.0
4460,Ape,1,Belt,,,,,,,,,,,,2622,,,
4461,Dog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9866,2.0,6300.0,85.0
4462,Robot,3,Belt,Covered Helmet,Wool Boots,,,,,,,,,,8552,1.0,5600.0,23.0
4463,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,4.0,5598.0,32.0
4464,Lion,3,Amulet,Belt,Covered Helmet,,,,,,,,,,5972,,,
4465,Ape,5,Belt,Covered Helmet,Sun Glasses,Wool Boots,Blaster,,,,,,,,1294,,,
4466,Lion,4,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,,4207,1.0,6000.0,18.0
4467,Bear,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,8556,2.0,1680.0,264.0
4468,Dog,4,Chestplate,Covered Helmet,Sun Glasses,Wine,,,,,,,,,2615,1.0,4495.0,231.0
4469,Lion,4,Star Suit,Belt,Covered Helmet,Sword,,,,,,,,,4681,,,
4470,Parrot,2,Special Background,Chestplate,,,,,,,,,,,5072,,,
4471,Cat,5,Chestplate,Amulet,Belt,Covered Helmet,Harpoon,,,,,,,,3443,,,
4472,Robot,3,Star Suit,Belt,Covered Helmet,,,,,,,,,,9275,1.0,4000.0,239.0
4473,Shark,4,Belt,Jetpack,Covered Helmet,Binoculars,,,,,,,,,579,,,
4474,Alien,6,Chestplate,Amulet,Belt,Jetpack,Covered Helmet,Snorkel,,,,,,,1198,,,
4475,Parrot,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,7155,1.0,4188.0,257.0
4476,Ape,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9818,,,
4477,Ape,4,Camo Suit,Chestplate,Belt,Wine,,,,,,,,,3976,3.0,4800.0,156.0
4478,Alien,2,Jetpack,Covered Helmet,,,,,,,,,,,5310,,,
4479,Dog,3,Amulet,Belt,Covered Helmet,,,,,,,,,,8507,4.0,4900.0,200.0
4480,Ape,4,Chestplate,Belt,Covered Helmet,Baguette,,,,,,,,,3292,,,
4481,Parrot,3,Belt,Wool Boots,Arc,,,,,,,,,,2407,1.0,6995.0,212.0
4482,Bear,3,Belt,Sun Glasses,Blaster,,,,,,,,,,1862,,,
4483,Dog,4,Star Suit,Chestplate,Belt,Sun Glasses,,,,,,,,,6962,,,
4484,Ape,2,Chestplate,Covered Helmet,,,,,,,,,,,8773,,,
4485,Alien,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9546,,,
4486,Alien,4,Camo Suit,Chestplate,Belt,Snorkel,,,,,,,,,6892,3.0,5950.0,44.0
4487,Arcane,2,Belt,Pistol,,,,,,,,,,,4085,,,
4488,Bull,4,Special Background,Chestplate,Belt,Revolver,,,,,,,,,71,,,
4489,Alien,3,Camo Suit,Belt,Sun Glasses,,,,,,,,,,6877,,,
4490,Robot,5,Chestplate,Belt,Covered Helmet,Snorkel,Wool Boots,,,,,,,,4687,3.0,6479.0,17.0
4491,Robot,3,Chestplate,Belt,X-Ray,,,,,,,,,,7388,,,
4492,Cat,3,Chestplate,Belt,VR,,,,,,,,,,8264,,,
4493,Shark,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,1982,,,
4494,Tiger,4,Star Suit,Chestplate,Belt,Sun Glasses,,,,,,,,,5935,3.0,5180.0,119.0
4495,Bear,7,Special Background,Chestplate,Belt,Covered Helmet,Eye Patch,Wool Boots,Lamp Fish,,,,,,126,,,
4496,Robot,3,Belt,Covered Helmet,Lamp Fish,,,,,,,,,,3345,,,
4497,Tiger,3,Special Background,Belt,Bazooka,,,,,,,,,,3484,,,
4498,Ape,3,Chestplate,Covered Helmet,Axe,,,,,,,,,,5646,,,
4499,Cat,3,Chestplate,Covered Helmet,Pistol,,,,,,,,,,6968,2.0,6299.0,209.0
4500,Ape,5,Special Background,Chestplate,Belt,Covered Helmet,Bazooka,,,,,,,,3106,1.0,5500.0,240.0
4501,Ape,5,Special Background,Belt,Jetpack,Watch,Sword,,,,,,,,2051,,,
4502,Parrot,3,Chestplate,Belt,Hockey Stick,,,,,,,,,,3756,,,
4503,Cat,4,Chestplate,Belt,Covered Helmet,Amulet,,,,,,,,,8477,1.0,3400.0,155.0
4504,Ape,1,Revolver,,,,,,,,,,,,1476,1.0,7000.0,186.0
4505,Dog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9866,,,
4506,Robot,4,Star Suit,Chestplate,Belt,Sun Glasses,,,,,,,,,6391,,,
4507,Parrot,5,Star Suit,Belt,Covered Helmet,Sword,Watch,,,,,,,,3048,1.0,7499.0,169.0
4508,Tiger,5,Star Suit,Chestplate,Belt,Covered Helmet,X-Ray,,,,,,,,5070,,,
4509,Elephant,3,Chestplate,Belt,Pistol,,,,,,,,,,228,,,
4510,Shark,2,Belt,Covered Helmet,,,,,,,,,,,1537,,,
4511,Cat,3,Chestplate,Belt,Wool Boots,,,,,,,,,,9178,5.0,5550.0,23.0
4512,Bear,5,Chestplate,Belt,Umbrella,Covered Helmet,Harpoon,,,,,,,,1974,,,
4513,Dog,3,Star Suit,Belt,Ski Goggles,,,,,,,,,,7376,,,
4514,Arcane,2,Belt,Wine,,,,,,,,,,,2526,,,
4515,Bear,4,Special Background,Camo Suit,Chestplate,Belt,,,,,,,,,7103,,,
4516,Tiger,4,Chestplate,Belt,Watch,Flowers,,,,,,,,,4567,,,
4517,Tiger,3,Camo Suit,Belt,Wool Boots,,,,,,,,,,7861,,,
4518,Lion,3,Chestplate,Belt,Cardano,,,,,,,,,,4731,,,
4519,Fish,3,Camo Suit,Chestplate,Belt,,,,,,,,,,432,,,
4520,Ape,5,Camo Suit,Chestplate,Belt,Covered Helmet,Watch,,,,,,,,7249,1.0,4250.0,186.0
4521,Arcane,3,Star Suit,Chestplate,Belt,,,,,,,,,,7926,,,
4522,Alien,5,Camo Suit,Chestplate,Belt,Backpack,Watch,,,,,,,,4076,3.0,6388.0,25.0
4523,Arcane,4,Camo Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,7644,1.0,7500.0,52.0
4524,Bear,2,Belt,Covered Helmet,,,,,,,,,,,8116,,,
4525,Bear,3,Chestplate,Belt,Anchor,,,,,,,,,,4183,2.0,4600.0,132.0
4526,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
4527,Arcane,3,Chestplate,Belt,Eye Patch,,,,,,,,,,5652,,,
4528,Ape,3,Star Suit,Belt,Jetpack,,,,,,,,,,6411,,,
4529,Ape,4,Chestplate,Belt,Covered Helmet,X-Ray,,,,,,,,,7470,,,
4530,Alien,1,Belt,,,,,,,,,,,,2567,1.0,4500.0,234.0
4531,Robot,1,Flowers,,,,,,,,,,,,1220,3.0,13000.0,65.0
4532,Tiger,2,Chestplate,Belt,,,,,,,,,,,8281,,,
4533,Frog,6,Chestplate,Belt,Umbrella,Covered Helmet,Wool Boots,Harpoon,,,,,,,681,,,
4534,Frog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,7734,,,
4535,Robot,4,Chestplate,Belt,Backpack,Blaster,,,,,,,,,1805,,,
4536,Tiger,2,Chestplate,VR,,,,,,,,,,,5845,,,
4537,Cat,2,Chestplate,Belt,,,,,,,,,,,9119,4.0,5150.0,210.0
4538,Lion,4,Chestplate,Covered Helmet,Ski Goggles,Jo-Jo,,,,,,,,,1677,,,
4539,Bear,5,Camo Suit,Chestplate,Belt,Backpack,Watch,,,,,,,,3594,,,
4540,Cat,4,Chestplate,Belt,Jo-Jo,Axe,,,,,,,,,1837,1.0,5500.0,258.0
4541,Alien,5,Chestplate,Belt,Covered Helmet,X-Ray,Blaster,,,,,,,,1706,,,
4542,Fish,2,Chestplate,Flowers,,,,,,,,,,,340,,,
4543,Ape,3,Chestplate,Belt,Snorkel,,,,,,,,,,7818,3.0,3650.0,159.0
4544,Cat,4,Chestplate,Belt,Watch,Amulet,,,,,,,,,7476,2.0,3500.0,150.0
4545,Ape,2,Belt,Covered Helmet,,,,,,,,,,,8788,,,
4546,Arcane,6,Special Background,Star Suit,Belt,Covered Helmet,Wool Boots,Cardano,,,,,,,1020,,,
4547,Lion,5,Amulet,Jetpack,Covered Helmet,Snorkel,Cardano,,,,,,,,922,,,
4548,Arcane,4,Chestplate,Belt,Sword,Wool Boots,,,,,,,,,4269,,,
4549,Alien,2,Covered Helmet,Snorkel,,,,,,,,,,,6022,3.0,4999.0,117.0
4550,Frog,1,Belt,,,,,,,,,,,,1591,3.0,2950.0,273.0
4551,Lion,1,Chestplate,,,,,,,,,,,,1682,,,
4552,Shark,5,Chestplate,Belt,Covered Helmet,Watch,Binoculars,,,,,,,,589,,,
4553,Tiger,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9350,2.0,5500.0,0.0
4554,Lion,4,Special Background,Star Suit,Belt,Covered Helmet,,,,,,,,,5505,,,
4555,Bear,3,Chestplate,Belt,Jetpack,,,,,,,,,,6007,1.0,7100.0,122.0
4556,Alien,2,Belt,Hockey Stick,,,,,,,,,,,4389,,,
4557,Robot,3,Star Suit,Chestplate,Belt,,,,,,,,,,9299,,,
4558,Alien,2,Chestplate,Belt,,,,,,,,,,,8816,,,
4559,Bear,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9239,,,
4560,Fish,1,Chestplate,,,,,,,,,,,,303,,,
4561,Dog,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9866,,,
4562,Dog,4,Special Background,Star Suit,Belt,Arc,,,,,,,,,3293,,,
4563,Frog,5,Chestplate,Belt,Revolver,Wool Boots,Binoculars,,,,,,,,744,,,
4564,Robot,5,Chestplate,Belt,Ski Goggles,Wool Boots,Anchor,,,,,,,,1737,,,
4565,Shark,3,Camo Suit,Chestplate,Belt,,,,,,,,,,1846,2.0,11500.0,259.0
4566,Dog,5,Special Background,Camo Suit,Chestplate,Belt,Flag,,,,,,,,4025,,,
4567,Dog,5,Camo Suit,Chestplate,Belt,Covered Helmet,Arc,,,,,,,,3499,,,
4568,Frog,4,Chestplate,Belt,Wool Boots,Bazooka,,,,,,,,,2491,2.0,7849.0,118.0
4569,Rhino,3,Chestplate,Belt,Umbrella,,,,,,,,,,470,,,
4570,Dog,4,Chestplate,Belt,Covered Helmet,Pistol,,,,,,,,,6802,,,
4571,Alien,3,Star Suit,Belt,Hockey Stick,,,,,,,,,,4986,,,
4572,Tiger,6,Star Suit,Chestplate,Belt,Backpack,Eye Patch,Sword,,,,,,,858,,,
4573,Lion,4,Special Background,Star Suit,Belt,Sun Glasses,,,,,,,,,3643,,,
4574,Lion,3,Special Background,Belt,Anchor,,,,,,,,,,2473,,,
4575,Shark,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,1982,,,
4576,Lion,4,Chestplate,Belt,Covered Helmet,Flowers,,,,,,,,,4207,,,
4577,Robot,3,Chestplate,Belt,Harpoon,,,,,,,,,,5271,,,
4578,Bear,4,Chestplate,Belt,Covered Helmet,Watch,,,,,,,,,8134,,,
4579,Alien,1,Belt,,,,,,,,,,,,2567,,,
4580,Bear,2,Chestplate,Wool Boots,,,,,,,,,,,6703,,,
4581,Cat,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9679,2.0,4800.0,113.0
4582,Cat,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9939,,,
4583,Cat,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9506,,,
4584,Lion,4,Chestplate,Belt,X-Ray,Amulet,,,,,,,,,3875,,,
4585,Ape,6,Star Suit,Chestplate,Belt,X-Ray,Sword,Watch,,,,,,,1289,,,
4586,Alien,2,Chestplate,Belt,,,,,,,,,,,8816,,,
4587,Robot,1,Chestplate,,,,,,,,,,,,2423,,,
4588,Rhino,2,Belt,Covered Helmet,,,,,,,,,,,524,,,
4589,Cat,4,Chestplate,Belt,Covered Helmet,Eye Patch,,,,,,,,,7706,1.0,4420.0,122.0
4590,Robot,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,9206,2.0,5800.0,19.0
4591,Lion,2,Chestplate,Belt,,,,,,,,,,,6578,,,
4592,Alien,2,Belt,Snorkel,,,,,,,,,,,6136,,,
4593,Dog,6,Camo Suit,Chestplate,Belt,Jetpack,Revolver,Hockey Stick,,,,,,,713,1.0,8999.0,243.0
4594,Cat,4,Chestplate,Belt,X-Ray,Harpoon,,,,,,,,,3529,,,
4595,Arcane,4,Chestplate,Belt,Watch,Pistol,,,,,,,,,4034,,,
4596,Tiger,2,Chestplate,Belt,,,,,,,,,,,8281,,,
4597,Ape,4,Chestplate,Belt,Covered Helmet,Cardano,,,,,,,,,6476,,,
4598,Frog,4,Camo Suit,Chestplate,Belt,Umbrella,,,,,,,,,4065,,,
4599,Ape,4,Star Suit,Chestplate,Belt,Anchor,,,,,,,,,4341,2.0,5000.0,240.0
4600,Tiger,4,Chestplate,Belt,Watch,Anchor,,,,,,,,,3472,,,
4601,Tiger,5,Star Suit,Belt,Covered Helmet,Wool Boots,Flowers,,,,,,,,3313,,,
4602,Cat,4,Special Background,Chestplate,Belt,X-Ray,,,,,,,,,5864,1.0,1900.0,263.0
4603,Parrot,5,Camo Suit,Chestplate,Belt,Covered Helmet,Revolver,,,,,,,,3714,,,
4604,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,,,
4605,Robot,3,Chestplate,Belt,Blaster,,,,,,,,,,3585,,,
4606,Cat,2,Chestplate,Belt,,,,,,,,,,,9119,,,
4607,Alien,3,Chestplate,Belt,Backpack,,,,,,,,,,6944,,,
4608,Bear,4,Chestplate,Belt,Sun Glasses,Hockey Stick,,,,,,,,,2852,2.0,8194.0,6.0
4609,Alien,3,Special Background,Chestplate,Covered Helmet,,,,,,,,,,8460,,,
4610,Frog,2,Special Background,Belt,,,,,,,,,,,4936,,,
4611,Robot,4,Chestplate,Belt,Jetpack,Anchor,,,,,,,,,2471,2.0,8325.0,88.0
4612,Arcane,1,Belt,,,,,,,,,,,,1814,,,
4613,Cat,3,Chestplate,Belt,Harpoon,,,,,,,,,,5605,,,
4614,Dog,3,Chestplate,Belt,Wool Boots,,,,,,,,,,9174,1.0,777.0,269.0
4615,Ape,5,Camo Suit,Chestplate,Belt,Ski Goggles,Pistol,,,,,,,,3278,1.0,6850.0,115.0
4616,Robot,4,Star Suit,Belt,Covered Helmet,Candle,,,,,,,,,2814,,,
4617,Robot,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9719,,,
4618,Robot,3,Special Background,Belt,Bazooka,,,,,,,,,,3735,,,
4619,Shark,6,Camo Suit,Chestplate,Amulet,Belt,Covered Helmet,Watch,,,,,,,623,,,
4620,Dog,6,Star Suit,Chestplate,Belt,X-Ray,Wool Boots,Bazooka,,,,,,,903,1.0,9995.0,212.0
4621,Rhino,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,568,,,
4622,Robot,3,Chestplate,Belt,Covered Helmet,,,,,,,,,,9719,,,
4623,Wolf,2,Belt,Wool Boots,,,,,,,,,,,485,,,
4624,Lion,4,Star Suit,Chestplate,Belt,Covered Helmet,,,,,,,,,7271,1.0,5000.0,122.0
4625,Parrot,5,Star Suit,Chestplate,Belt,Covered Helmet,Hockey Stick,,,,,,,,2664,,,
4626,Ape,4,Star Suit,Chestplate,Belt,Bazooka,,,,,,,,,4547,,,
4627,Lion,2,Chestplate,Belt,,,,,,,,,,,6578,2.0,5899.0,11.0
4628,Arcane,5,Camo Suit,Belt,Covered Helmet,Sun Glasses,Wool Boots,,,,,,,,3187,,,
4629,Shark,5,Special Background,Chestplate,Belt,Jetpack,Harpoon,,,,,,,,588,,,
4630,Tiger,5,Chestplate,Amulet,Belt,Eye Patch,Revolver,,,,,,,,2422,1.0,8650.0,72.0
4631,Dog,4,Chestplate,Belt,Covered Helmet,Watch,,,,,,,,,9008,4.0,5600.0,41.0
4632,Bear,5,Star Suit,Chestplate,Belt,Covered Helmet,VR,,,,,,,,5245,,,
4633,Bear,4,Chestplate,Belt,Sun Glasses,Flag,,,,,,,,,3621,,,
4634,Cat,2,Belt,Covered Helmet,,,,,,,,,,,9014,,,
4635,Tiger,5,Camo Suit,Chestplate,Belt,Covered Helmet,Wool Boots,,,,,,,,6153,1.0,1130.0,272.0
4636,Dog,3,Chestplate,Belt,Anchor,,,,,,,,,,4993,2.0,5950.0,14.0
4637,Cat,3,Belt,Jetpack,Covered Helmet,,,,,,,,,,6868,,,
4638,Dog,1,Chestplate,,,,,,,,,,,,2696,2.0,7999.0,64.0
4639,Cat,2,Special Background,Belt,,,,,,,,,,,7577,,,
4640,Dog,4,Chestplate,Belt,Covered Helmet,Candle,,,,,,,,,3309,,,
4641,Dog,3,Belt,Watch,Harpoon,,,,,,,,,,4702,1.0,3699.0,240.0
4642,Cat,3,Chestplate,Belt,Pistol,,,,,,,,,,7110,,,
4643,Dog,5,Star Suit,Belt,Covered Helmet,X-Ray,Flag,,,,,,,,3257,1.0,4400.0,259.0
4644,Dog,3,Camo Suit,Chestplate,Belt,,,,,,,,,,9649,4.0,5388.0,10.0
4645,Ape,2,Chestplate,Belt,,,,,,,,,,,8884,1.0,7999.0,95.0
4646,Alien,6,Special Background,Chestplate,Belt,Covered Helmet,Snorkel,Jo-Jo,,,,,,,800,,,
4647,Dog,2,Chestplate,Belt,,,,,,,,,,,9060,2.0,6000.0,78.0
4648,Robot,3,Chestplate,Cardano,Flowers,,,,,,,,,,3305,,,
4649,Dog,4,Chestplate,Belt,Ski Goggles,Amulet,,,,,,,,,5730,1.0,13500.0,179.0
4650,Frog,5,Chestplate,Belt,Covered Helmet,Lamp Fish,Axe,,,,,,,,783,,,
4651,Frog,4,Camo Suit,Chestplate,Belt,Jetpack,,,,,,,,,4163,,,
4652,Tiger,2,Chestplate,Belt,,,,,,,,,,,8281,,,
4653,Alien,5,Special Background,Chestplate,Belt,Covered Helmet,VR,,,,,,,,5110,2.0,4625.0,193.0
4654,Rhino,2,Star Suit,Belt,,,,,,,,,,,500,,,
4655,Parrot,4,Star Suit,Chestplate,Belt,Harpoon,,,,,,,,,3428,,,
4656,Alien,4,Star Suit,Belt,VR,Flag,,,,,,,,,4138,,,
4657,Robot,2,Chestplate,Belt,,,,,,,,,,,8587,2.0,5555.0,68.0
4658,Cat,4,Chestplate,Covered Helmet,Ski Goggles,Blaster,,,,,,,,,2210,,,
4659,Parrot,2,Chestplate,Belt,,,,,,,,,,,6492,,,
4660,Frog,1,Belt,,,,,,,,,,,,1591,,,
4661,Robot,4,Chestplate,Belt,Watch,Baguette,,,,,,,,,2486,2.0,5999.0,200.0
4662,Cat,1,Chestplate,,,,,,,,,,,,2712,,,
4663,Cat,3,Chestplate,Belt,Watch,,,,,,,,,,9230,,,
4664,Robot,3,Chestplate,Belt,Cardano,,,,,,,,,,6380,,,
4665,Alien,3,Star Suit,Belt,Backpack,,,,,,,,,,6274,,,
4666,Robot,5,Camo Suit,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,4711,,,
4667,Tiger,2,Chestplate,Covered Helmet,,,,,,,,,,,8222,,,
4668,Tiger,4,Special Background,Star Suit,Chestplate,Belt,,,,,,,,,7326,1.0,5000.0,202.0
4669,Alien,4,Star Suit,Chestplate,Belt,Ski Goggles,,,,,,,,,6959,,,
4670,Arcane,4,Chestplate,Belt,Covered Helmet,VR,,,,,,,,,5761,1.0,5500.0,107.0
4671,Arcane,6,Chestplate,Belt,Covered Helmet,X-Ray,Binoculars,Axe,,,,,,,549,,,
4672,Parrot,6,Special Background,Star Suit,Chestplate,Belt,Covered Helmet,Watch,,,,,,,1775,,,
4673,Ape,5,Chestplate,Belt,Backpack,Covered Helmet,Ski Goggles,,,,,,,,3545,1.0,7777.0,53.0
4674,Tiger,4,Chestplate,Belt,Backpack,Covered Helmet,,,,,,,,,5667,,,
4675,Alien,6,Camo Suit,Chestplate,Belt,Covered Helmet,Snorkel,Cardano,,,,,,,1396,3.0,8950.0,41.0
4676,Ape,6,Chestplate,Belt,Eye Patch,Watch,Wine,Flowers,,,,,,,614,,,
4677,Bear,3,Chestplate,Covered Helmet,Hockey Stick,,,,,,,,,,4677,,,
